name,hours,is_used,length
Learning AWS Step Functions,8,1,27
Configure workflows,8,1,19
Deployment to production,8,1,24
PM,2,1,2
Pantalla de desbloqueo,8,1,22
Verificación de inventario antes de comprar,16,1,43
Creación de BD en RDS,8,1,21
Funciónes lambda,16,1,16
Conexión con funciones lambda,8,1,29
Conexión con funciones lambda,8,1,29
PM,8,1,2
Amazon Elastic Transcoder,8,1,25
Lambda function,8,1,15
Adjust Video Tag,8,1,16
PM,2,1,2
Diseño y creacion de la base de datos,8,1,37
setup de todo el ambiente de desarrollo,8,1,39
Procesado del video y aplicación del modelo de reconocimiento de rostos y emociones,16,1,83
Almacenamiento de usuarios desconocidos en lista de desconocidos,8,1,64
Entrenamiento del modelo de reconocimiento de rostos,48,1,52
Almacenamiento de los resultados obtenidos en la base de datos,16,1,62
Creación de un reporte de los resultados obtenidos del análisis del video,24,1,73
Creacion del template del sistema de escritorio,16,1,47
Mejora y testing del modelo de reconocimiento de rostos,24,1,55
Creación de un login,16,1,20
Preparación de los datos,8,1,24
Integración del modelo de reconocimiento de rostos,16,1,50
Cargar video y establecer los parámetros de reconocimiento de rostros deseados,8,1,78
PM,21,1,2
Rediseño,24,1,8
Listado de ordenes,8,1,18
Detalle de orden,16,1,16
Actualizar estado de orden,8,1,26
Rediseño,24,1,8
Listado de ordenes,8,1,18
Detalle de orden,16,1,16
Actualizar estado de orden,8,1,26
PM,8,1,2
Configuración del proyecto,8,0,26
Búsqueda de productos,24,0,21
Login con google,16,0,16
Perfil del usuario,8,0,18
Preparación de orden,32,0,20
Mis ordenes,8,0,11
Push notifications,32,0,18
Multicompañia,16,0,13
Deploy a producción,8,0,19
Configuración del proyecto,8,0,26
Login con Google,8,0,16
Perfil del usuario,16,0,18
Búsqueda de productos,24,0,21
Preparación de orden,32,0,20
Push notifications,32,0,18
Multicompañia,8,0,13
Plantilla html + colores y branding QPOS,16,0,40
My location,16,0,11
Deploy a producción,8,0,19
Mis ordenes,16,0,11
Diseño de la arquitectura,24,0,25
Base de registro de las organizaciones de desarrollo comunal,16,0,60
Georeferencia de las organizaciones de desarrollo comunal,24,0,57
¿Cómo afiliarse a la asociación de desarrollo?,8,0,46
¿Cómo financiar un proyecto con Dinadeco?,16,0,41
Configuración de proyecto,8,0,25
Publicación en tienda,16,0,21
Sección información básica Dinadeco,16,0,35
Programas y servicios,24,0,21
Direcciones regionales (georeferenciada y con contactos),24,0,56
Integración con mapas,8,0,21
Base de registro de las organizaciones de desarrollo comunal,16,0,60
Georeferencia de las organizaciones de desarrollo comunal:,24,0,58
¿Cómo afiliarse a la asociación de desarrollo?,8,0,46
¿Cómo financiar un proyecto con Dinadeco?,16,0,41
Configuración de proyecto,8,0,25
Publicación en tienda,16,0,21
Sección información básica Dinadeco,16,0,35
Programas y servicios,24,0,21
Direcciones regionales (georeferenciada y con contactos),24,0,56
Integración con mapas,8,0,21
Georeferencia de las organizaciones de desarrollo comunal,16,0,57
¿Cómo afiliarse a la asociación de desarrollo?,8,0,46
¿Cómo financiar un proyecto con Dinadeco?,24,0,41
Configuración de proyecto,8,0,25
Login,8,0,5
Registro,8,0,8
Deploy a producción,16,0,19
Información básica endpoint,8,0,27
Programas y servicios endpoint,8,0,30
Direcciones regionales (georeferenciada y con contactos) endpoint,8,0,65
Base de registro de las organizaciones de desarrollo comunal,40,0,60
Base de registro de las organizaciones de desarrollo comunal,32,0,60
Mant. Georeferencia de las organizaciones de desarrollo comunal,16,0,63
¿Cómo financiar un proyecto con Dinadeco?,24,0,41
Configuración de proyecto,8,0,25
Template HTML,24,0,13
Deploy a producción,16,0,19
Mantenimiento de información básica,8,0,35
Mantenimiento de Programas y servicios,16,0,38
Integración con mapas,8,0,21
PM,62,0,2
QA,62,0,2
Maintenance 1,160,1,13
Georeferencia de las organizaciones de desarrollo comunal,16,0,57
¿Cómo afiliarse a la asociación de desarrollo?,8,0,46
¿Cómo financiar un proyecto con Dinadeco?,24,0,41
Configuración de proyecto,8,0,25
Login,8,0,5
Registro,8,0,8
Deploy a producción,16,0,19
Información básica endpoint,8,0,27
Programas y servicios endpoint,8,0,30
Direcciones regionales (georeferenciada y con contactos) endpoint,8,0,65
Base de registro de las organizaciones de desarrollo comunal,40,0,60
Base de registro de las organizaciones de desarrollo comunal,32,0,60
Mant. Georeferencia de las organizaciones de desarrollo comunal,16,0,63
¿Cómo financiar un proyecto con Dinadeco?,24,0,41
Configuración de proyecto,8,0,25
Template HTML,24,0,13
Deploy a producción,16,0,19
Mantenimiento de información básica,8,0,35
Mantenimiento de Programas y servicios,16,0,38
Integración con mapas,8,0,21
PM,62,0,2
QA,62,0,2
¿Cómo afiliarse a la asociación de desarrollo?,10,0,46
Integración con mapas,10,0,21
Publicación en tienda,32,0,21
Base de registro de las organizaciones de desarrollo comunal,24,0,60
Georeferencia de las organizaciones de desarrollo comunal,24,0,57
¿Cómo financiar un proyecto con Dinadeco?,24,0,41
Configuración de proyecto,8,0,25
Sección información básica Dinadeco,24,0,35
Programas y servicios,24,0,21
Direcciones regionales (georeferenciada y con contactos),32,0,56
Update email template,4,0,21
Magic link generation,8,0,21
UI implementation magic link,8,0,28
Changes in the frontend regarding videos,8,0,40
Serve videos using Cloudfront,4,0,29
Configuración del proyecto,8,0,26
Registro,16,0,8
Login,16,0,5
Asignar mesa a tablet,8,0,21
Ver menú,32,0,8
Ordenar desde tablet,40,0,20
Consultar estado de orden,16,0,25
Consultar estado de orden,16,0,25
Publicación de Play Store,16,0,25
Configuración del proyecto,8,0,26
Registro,16,0,8
Login,8,0,5
Roles,16,0,5
Ordenes,24,0,7
Reporte de Ordenes + Filtros,16,0,28
Publicación en producción,16,0,25
Configuración del proyecto,8,0,26
Listado de clientes,8,0,19
PM Entregable 2,8,0,15
PM Entregable 1,23,0,15
QA Entregable 1,80,0,15
QA Entregable 2,24,0,15
Project setup,8,0,13
Login,8,0,5
Register,16,0,8
Products CRUD,24,0,13
Search products as a guest,16,0,26
Landing informative pages,16,0,25
Reviews,16,0,7
Seller rate,16,0,11
Roles,24,0,5
Contact owner,8,0,13
Product details,16,0,15
PM,18,0,2
QA,40,0,2
Home Page,8,1,9
Booking Page,8,1,12
Vendor Page,8,1,11
Vendor Dashboard Page,8,1,21
User Dashboard Page,8,1,19
Extra changes requested by Sophia,16,1,33
AWS Changes,16,1,11
PM,8,1,2
Configuración del proyecto,8,0,26
Búsqueda de productos,24,0,21
Preparación de orden,32,0,20
Push notifications,32,0,18
Multicompañia,16,0,13
Deploy a producción,8,0,19
Confirmar Pedido,4,0,16
Configuración del proyecto,8,0,26
Capcha,8,0,6
Plantilla html + colores y branding QPOS,16,0,40
Búsqueda de productos,24,0,21
Preparación de orden,32,0,20
Push notifications,32,0,18
Deploy a producción,8,0,19
Capcha,8,0,6
Confirmar pedido,4,0,16
Multicompañia,16,0,13
Diseño de la arquitectura,24,0,25
Configuración wordpress,8,0,23
Instalación de WooCommerce,24,0,26
Integración con pasarela del bac,80,0,32
Instalación de FooEvents,40,0,24
Customización de UI,40,0,19
Deploy a producción,24,0,19
Architect,8,0,9
PM,24,0,2
QA,64,0,2
AWS configuration and deploy to production,40,1,42
QA Deliverable 1,48,1,16
QA Deliverable 2,64,1,16
QA Deliverable 3,104,1,16
PM Deliverable 1,10,1,16
PM Deliverable 2,16,1,16
PM Deliverable 3,22,1,16
Search business (API),8,1,21
Project Setup (API),8,1,19
Login (API),8,1,11
Roles (API),8,1,11
Authorization (API),8,1,19
Products CRUD (API),24,1,19
Business catalog (API),16,1,22
Posts CRUD (API),16,1,16
Likes (API),8,1,11
Follow Businesses (API),16,1,23
Register Client (API),16,1,21
Business profile (API),16,1,22
Search products (API),8,1,21
Timelines with feeds (API),16,1,26
Buy Product workflow (API),40,1,26
Orders (API),24,1,12
Delivery points (API),16,1,21
Reviews (API),16,1,13
Comprobantes de pago (API),40,1,26
Register Business (API),16,1,23
Token management (App),8,1,22
Search business (App),8,1,21
Search products (App),8,1,21
Register Business (App),32,1,23
Project Setup (App),8,1,19
Authorization (App),16,1,19
Register Client (App),32,1,21
Business profile (App),24,1,22
Business catalog (App),24,1,22
Delivery points (App),24,1,21
Products CRUD (App),24,1,19
Posts with toolkit (App),40,1,24
Business likes (App),16,1,20
